school_latitude(W),school_longitude(N),school_zip,t_price_excl_donation($),t_price_incl_donation($),students_reached,total_donations($),num_donors
34.39081192,-118.5488129,91355,918.49,1080.58,100,285,11
41.66544,-70.923798,2746,824.7,970.24,27,879.35,10
26.298184,-80.267425,33076,376.2,442.59,20,440.48,47
45.63101196,-122.5165558,98684,330.68,389.04,22,233,1
40.576843,-74.099754,10306,662.99,779.99,12,779.99,2
30.515228,-90.992871,70739,315.52,371.2,23,353.73,7
42.391229,-87.865272,60087,838.73,986.74,23,986.74,1
38.007256,-121.811295,94509,267.84,315.11,32,308.04,6
41.87863,-87.766217,60644,156.86,184.54,24,184.54,4
37.36240859,-75.94132851,23347,1189.6,1399.53,8,80,3
40.758827,-73.939197,11101,283.74,333.81,25,333.82,2
61.49348831,-149.7675934,99654,151.56,178.31,21,70,2
41.314915,-95.969521,68111,228.81,269.19,15,264,47
39.839756,-75.153503,8096,293.7,345.53,110,126,6
33.560934,-112.160421,85302,158.46,186.42,25,186.42,2
42.354893,-87.836891,60085,661.97,778.79,40,748.95,68
43.598427,-116.417381,83642,2127.23,2502.62,30,2127.23,1
29.8020039,-95.75189605,77449,762.79,897.4,22,819.04,8
34.110236,-84.524527,30188,286.33,336.86,26,336.85,2
32.71893539,-111.4987502,85141,473.38,556.92,200,479.85,2
28.170727,-80.664078,32935,252.69,297.28,550,297.28,3
33.493513,-84.363897,30238,1562.17,1837.85,60,16,1
41.858832,-87.715815,60623,365.49,429.99,100,365.49,1
34.109393,-117.409821,92336,151.66,178.42,60,178.42,2
29.465,-98.616478,78238,417.83,491.56,140,420.23,2
30.341805,-81.576539,32211,450.21,529.66,60,498.77,11
40.81843948,-73.94232941,10030,197.32,232.14,120,232.14,3
40.054145,-85.689572,46013,536.58,631.27,12,621.48,14
36.180307,-96.011873,74127,247.42,291.08,25,291.08,3
26.166918,-80.282982,33351,399.14,469.58,22,458.99,37
40.685573,-73.922485,11233,297.4,349.88,24,0,0
30.42914162,-90.19897958,70447,372.72,438.49,60,10,1
38.258356,-122.030012,94533,997.91,1174.01,25,0,0
31.265717,-92.431368,71302,911.98,1072.92,20,125,3
37.684582,-121.728172,94550,536.76,631.48,32,220,3
39.365734,-76.569939,21214,390.12,458.96,90,441.32,5
42.348512,-71.069114,2116,467.79,550.34,53,546.82,5
29.594928,-95.215029,77089,2845.97,3348.2,150,10,1
39.767753,-86.53479,46122,516.18,607.27,48,0,0
32.741786,-117.02885,91945,225.58,265.39,36,261.86,7
33.387302,-112.10437,85041,2778.82,3269.2,135,208,8
40.46772385,-79.91108704,15206,198.66,233.72,150,231.95,4
31.81510672,-81.59972906,31313,306.39,360.46,86,360.46,7
33.817489,-84.454952,30318,2165.8,2548,124,25,1
33.86403275,-84.44691467,30327,2195.79,2583.28,125,105,4
29.851608,-90.111529,70072,1507.28,1773.27,20,1773.27,3
34.36592102,-87.12574005,35619,1130.82,1330.38,37,1330.38,2
30.673258,-88.251536,36608,2119.69,2493.75,180,2493.75,2
41.797124,-87.659983,60609,639.61,752.48,500,752.48,3
40.662651,-111.992554,84118,557.22,655.55,118,20,2
33.75724411,-84.43396759,30314,1022.94,1203.46,45,1203.46,19
38.628133,-75.323205,19947,373.49,439.4,50,412.93,8
40.917239,-98.334131,68801,376.14,442.52,20,442.52,2
34.757376,-86.633567,35810,336.87,396.32,15,20,2
40.660931,-73.985939,11215,381.85,449.24,31,449.24,8
38.940495,-77.028625,20011,244.99,288.22,100,274.99,6
32.347722,-95.301851,75702,388.62,457.2,24,457.2,1
34.724328,-87.714778,35674,1510.16,1776.66,21,1776.66,3
42.4050792,-82.9488977,48224,638.98,751.74,8,0,0
34.256248,-85.866672,35961,512.71,603.19,120,603.19,2
42.617716,-71.365046,1824,193.72,227.91,411,227.91,9
47.047577,-122.919146,98502,1119.62,1317.2,50,1317.2,6
29.938499,-95.614487,77065,298.95,351.71,40,322.06,3
41.261242,-72.940308,6516,167.14,196.64,125,189.26,3
38.595655,-90.592123,63011,388.49,457.05,20,457.05,10
36.608314,-78.915091,24520,617.44,726.4,220,0,0
30.834986,-83.321034,31601,138.6,163.06,14,163.06,1
42.30798014,-71.06253549,2122,478.27,562.67,450,0,0
33.641403,-117.879341,92660,1944.14,2287.22,26,8,1
25.856266,-80.202332,33150,1755.45,2065.24,115,0,0
40.795068,-73.938817,10029,458.32,539.2,19,535.67,3
25.734542,-80.263365,33146,988.42,1162.85,150,1988.42,1
39.8432045,-75.40096283,19013,331.46,389.95,3,389.95,4
40.815224,-73.944298,10030,11162.52,13132.38,15,11803.39,22
26.112719,-80.164963,33312,1937.72,2279.67,200,138,4
32.31198502,-95.25283813,75799,151.8,178.59,75,178.58,2
47.15901867,-88.5723339,49930,638.98,751.74,120,0,0
36.305604,-119.346779,93277,582.6,685.41,170,681,14
41.958648,-87.782029,60634,282.74,332.64,30,332.64,4
42.318787,-83.091362,48209,344.02,404.73,80,0,0
32.807251,-96.749886,75214,2049.85,2411.59,70,2411.59,1
35.454792,-81.02536,28037,538.9,634,100,634,17
28.475545,-81.27068,32829,594.17,699.02,18,699.02,10
41.946583,-87.690902,60618,285.96,336.42,60,336.42,6
38.532238,-89.129648,62801,224.64,264.28,130,264.28,3
47.55745746,-122.6677977,98312,1849.07,2175.38,56,600,2
33.75724411,-84.43396759,30314,143.72,169.08,19,162.73,3
34.18387882,-118.5382795,91335,2235.13,2629.56,60,2629.56,1
32.880634,-97.274864,76137,2048.7,2410.24,27,2410.24,2
27.874104,-82.516586,33616,1973.32,2321.55,100,2321.55,1
60.48645,-151.142502,99669,423.94,498.75,19,10,1
33.541423,-101.900774,79413,427.37,502.79,100,494.85,8
47.724238,-122.355365,98133,4892.36,5755.72,185,5755.72,1
38.888191,-94.303191,64086,369.77,435.02,21,429.73,6
42.507494,-83.771143,48116,381.65,449,30,440.18,13
41.31916,-73.06414,6418,136.03,160.04,380,136.03,1
41.755229,-87.645554,60620,1636.03,1924.74,60,1903.57,4
39.0195694,-77.05397034,20902,567.01,667.07,90,666.19,18
35.373284,-97.530266,73139,326.25,383.82,22,383.82,2
41.452644,-81.55101,44122,435.16,511.95,25,511.95,6
42.095474,-75.891453,13903,2059.49,2422.93,300,211.1,5
32.204584,-83.191683,31023,184.49,217.05,120,217.05,3
40.587612,-73.98539,11214,290.36,341.6,125,328.72,31
28.996965,-81.543066,32767,322.25,379.12,16,370.29,9
35.735054,-82.557579,28787,774.98,911.74,50,811.28,2
40.783237,-73.806992,11357,1146.49,1348.81,155,1251.7,8
34.149553,-118.455282,91403,394.02,463.55,24,463.55,5
34.114628,-80.898317,29223,355.64,418.4,28,416.64,5
31.906076,-94.392067,75975,405.48,477.04,35,5,1
30.259016,-81.750339,32210,529.5,622.94,20,622.94,6
40.828574,-73.917727,10456,1571.68,1849.04,458,0,0
29.94270134,-90.02767181,70114,509.04,598.87,30,597.11,8
34.05311,-118.299117,90006,816.65,960.76,40,0,0
28.382711,-81.422777,32837,672.32,790.96,21,776.14,4
38.985748,-76.926704,20740,745.66,877.25,9,846.36,10
45.562552,-94.147119,56304,710.09,835.4,25,776.84,9
39.57629,-105.06176,80128,506.97,596.44,45,587.61,11
36.113555,-115.233736,89103,464.25,546.18,200,0,0
37.162951,-76.556732,23608,516.68,607.86,18,337.9,7
26.499608,-80.090205,33426,351.19,413.16,19,381.94,4
35.823641,-90.705639,72401,853.13,1003.68,100,1003.68,3
30.36065531,-97.64034773,78754,293.9,345.76,600,345.76,4
27.580727,-97.793223,78343,538.18,633.15,200,0,0
34.140153,-80.886977,29229,474.19,557.87,22,557.87,4
32.891492,-96.530079,75088,357.86,421.01,480,421.02,5
39.664239,-75.624554,19720,457.76,538.54,54,20,2
